Frame Number,Time Stamp (ms),Buffer Index
1815,30265,0
1816,30282,0
1817,30298,0
1818,30315,0
1819,30332,0
1820,30349,0
1821,30365,0
1822,30382,0
1823,30399,0
1824,30416,0
1825,30432,0
1826,30449,0
1827,30465,0
1828,30482,0
1829,30498,0
1830,30515,0
1831,30531,0
1832,30548,0
1833,30565,0
1834,30582,0
1835,30598,0
1836,30615,0
1837,30631,0
1838,30649,0
1839,30665,0
1840,30682,0
1841,30699,0
1842,30716,0
1843,30732,0
1844,30749,0
1845,30765,0
1846,30782,0
1847,30798,0
1848,30815,0
1849,30832,0
1850,30848,0
1851,30865,0
1852,30882,0
1853,30898,0
1854,30915,0
1855,30932,0
1856,30949,0
1857,30966,0
1858,30982,0
1859,30999,0
1860,31016,0
1861,31033,0
1862,31049,0
1863,31066,0
1864,31083,0
